Winner,Grass
Alcaraz C.,7
Djokovic N.,6
Musetti L.,5
Medvedev D.,5
Sinner J.,4
Paul T.,4
De Minaur A.,4
Fritz T.,4
Fils A.,3
Shelton B.,3
Rune H.,3
Mpetshi G.,3
Humbert U.,3
Zverev A.,3
Dimitrov G.,3
Bautista Agut R.,3
Popyrin A.,2
Tiafoe F.,2
Bublik A.,2
Pouille L.,2
Shapovalov D.,2
Norrie C.,2
Nakashima B.,2
Struff J.L.,2
Comesana F.,2
Monfils G.,2
Ruusuvuori E.,2
Tabilo A.,2
Kecmanovic M.,2
Halys Q.,2
Fognini F.,2
Safiullin R.,2
Thompson J.,1
Tsitsipas S.,1
Van De Zandschulp B.,1
Virtanen O.,1
Sonego L.,1
Vukic A.,1
Berrettini M.,1
Walton A.,1
Wawrinka S.,1
Shang J.,1
Seyboth Wild T.,1
Zhang Zh.,1
Etcheverry T.,1
Ruud C.,1
Kokkinakis T.,1
Draper J.,1
Giron M.,1
Griekspoor T.,1
Harris L.,1
Darderi L.,1
Hurkacz H.,1
Khachanov K.,1
Machac T.,1
Rinderknech A.,1
Coric B.,1
Altmaier D.,1
Munar J.,1
Cobolli F.,1
Nishioka Y.,1
Cazaux A.,1
Fearnley J.,1
Muller A.,1
