Winner,Hard
Sinner J.,6
Djokovic N.,5
Mensik J.,4
Machac T.,4
Goffin D.,4
Fritz T.,4
Alcaraz C.,3
Safiullin R.,3
Medvedev D.,3
Monfils G.,3
Zverev A.,2
Griekspoor T.,2
Dimitrov G.,2
Paul T.,2
Shelton B.,2
Muller A.,2
Shevchenko A.,2
Tsitsipas S.,2
Carballes Baena R.,2
Vukic A.,2
Giron M.,2
Watanuki Y.,2
Wu Y.,2
Rune H.,2
Van De Zandschulp B.,1
Tiafoe F.,1
Seyboth Wild T.,1
Tabilo A.,1
Svajda Z.,1
Atmane T.,1
Wawrinka S.,1
Shapovalov D.,1
Zhou Y.,1
Shang J.,1
Davidovich Fokina A.,1
Bellucci M.,1
Kecmanovic M.,1
Daniel T.,1
Etcheverry T.,1
Fognini F.,1
Cobolli F.,1
Cazaux A.,1
Humbert U.,1
Lehecka J.,1
Rinderknech A.,1
Berrettini M.,1
Bergs Z.,1
Michelsen A.,1
Arnaldi M.,1
Munar J.,1
Nishikori K.,1
Popyrin A.,1
