,player,pts_won,net_pts,net_efficiency
0,Garbine Muguruza,29,37,78.37837837837837
1,Iga Swiatek,51,70,72.85714285714285
2,Danielle Collins,16,22,72.72727272727273
3,Shuai Zhang,16,22,72.72727272727273
4,Serena Williams,55,79,69.62025316455697
5,Moyuka Uchijima,42,63,66.66666666666666
6,Caroline Garcia,37,56,66.07142857142857
7,Coco Gauff,21,32,65.625
8,Victoria Azarenka,19,29,65.51724137931035
9,Bianca Andreescu,38,59,64.40677966101694
10,Ons Jabeur,21,33,63.63636363636363
11,Petra Kvitova,14,22,63.63636363636363
